#           X                Y                 Ex                Ey                Ez                E 
      0.0000000000      0.0000000000     -0.0671271914     -0.0671271914      0.0000000000      0.0949321844
      0.0000000000      0.1741000000     -0.0691731259    474.9984338396      0.0000000000    474.9984388763
      0.0000000000      0.3482000000     -0.0712804775    118.6976623005     -0.0000000000    118.6976837032
      0.0000000000      0.5223000000     -0.0734500985     52.7153154150      0.0000000000     52.7153665853
      0.0000000000      0.6964000000     -0.0756827178     29.6209298601      0.0000000000     29.6210265462
      0.0000000000      0.8705000000     -0.0779789231     18.9310709847      0.0000000000     18.9312315854
      0.0000000000      1.0446000000     -0.0803391411     13.1238508913     -0.0000000000     13.1240967916
      0.0000000000      1.2187000000     -0.0827636164      9.6219510950      0.0000000000      9.6223070358
      0.0000000000      1.3928000000     -0.0852523894      7.3487944102      0.0000000000      7.3492888944
      0.0000000000      1.5669000000     -0.0878052725      5.7900671531      0.0000000000      5.7907328900
      0.0000000000      1.7410000000     -0.0904218249      4.6748835280      0.0000000000      4.6757579179
      0.0000000000      1.9151000000     -0.0931013266      3.8495563701      0.0000000000      3.8506820310
      0.0000000000      2.0892000000     -0.0958427508      3.2216233483      0.0000000000      3.2230486858
      0.0000000000      2.2633000000     -0.0986447360      2.7327494704     -0.0000000000      2.7345292926
      0.0000000000      2.4374000000     -0.1015055569      2.3446552661      0.0000000000      2.3468514429
      0.0000000000      2.6115000000     -0.1044230953      2.0313767886     -0.0000000000      2.0340589568
      0.0000000000      2.7856000000     -0.1073948104      1.7747988875      0.0000000000      1.7780452009
      0.0000000000      2.9597000000     -0.1104177101      1.5619702459      0.0000000000      1.5658681681
      0.0000000000      3.1338000000     -0.1134883223      1.3834318826      0.0000000000      1.3880790226
      0.0000000000      3.3079000000     -0.1166026678      1.2321443879      0.0000000000      1.2376493748
      0.0000000000      3.4820000000     -0.1197562349      1.1027807692      0.0000000000      1.1092641619
      0.0000000000      3.6561000000     -0.1229439570      0.9912491402     -0.0000000000      0.9988443695
      0.0000000000      3.8302000000     -0.1261601919      0.8943636840      0.0000000000      0.9032180209
      0.0000000000      4.0043000000     -0.1293987066      0.8096134980      0.0000000000      0.8198890421
      0.0000000000      4.1784000000     -0.1326526660      0.7349974090      0.0000000000      0.7468720915
      0.0000000000      4.3525000000     -0.1359146264      0.6689040919      0.0000000000      0.6825726846
      0.0000000000      4.5266000000     -0.1391765367      0.6100238327      0.0000000000      0.6256989570
      0.0000000000      4.7007000000     -0.1424297455      0.5572827422      0.0000000000      0.5751958685
      0.0000000000      4.8748000000     -0.1456650166      0.5097931245      0.0000000000      0.5301955553
      0.0000000000      5.0489000000     -0.1488725533      0.4668156227      0.0000000000      0.4899794513
